留言领域,留言类型,留言内容,回复内容
教育,投诉/求助,我是亳州市谯城区*小学的一名家长，我孩子所在的班级有70多人，这是不是符合班级人数要求？老师怎么有效开展教学？,尊敬的市民：您好！您反映的“谯城区三x路小学班额人数多”问题已收悉，现将有关情况答复如下：经查，谯城区三x路小学高年级是2023年秋季开学临时招收的转校学生组成的班级，目前共6个班级。自多孩政策实施后迎来适龄儿童入学高峰期，同时周边新建小区陆续交付使用，符合购房子女转学条件的人员较多，因教室和师资有限，造成该校班额人数较多。该校已根据班额人数较多的实际情况制定教学安排，可以满足开展正常教育教学工作。下一步，谯城区教育局将加大教育布局规划和建设力度，优化教育资源配置，改善办学条件。2025年3月4日，谯城区教育局工作人员与您联系，沟通了相关情况，您表示理解。感谢您对我们工作的关心和支持！如有疑问，请联系谯城区教育局，电话：0558-5523136。亳州市人民政府2025年3月14日
文娱,投诉/求助,尊敬的领导：本人居住在观山湖区中天会展城B区3组团，隔壁5组团去年安装了小孩玩的滑梯设施，但我们3组团迟迟未安装滑梯设施，导致低龄小孩没有娱乐设施，如果要带去别的组团玩有门禁很不方便，犹如去到别人家，进出不便也很不自在。同样作为B组团业主，在设施配置上不能做到一视同仁，我们感觉这是对我们3组团的一种轻视。中天会展城属于半开放小区，出了小区周边全是马路，车流量很大，门口没有任何适合小孩娱乐的区域及空间，而且3组团面积小，可以说下了楼就是马路，很不安全，而安全的小区里没有设置小孩的游乐设施，小孩最基本的娱乐需求都得不到满足，作为3组团业主我们深感到了不公平的待遇。我们只希望小区各组团设施配置一视同仁，不要区别对待，满足小孩子最基本的娱乐需求。望领导重视并予以解决为谢！,网民：您好！您反映的问题我区高度重视，立即转观山湖区长岭街道办事处核查处理，现回复如下：经核查，会展城B3组团现有两个区域（1、2栋和7、8栋），均属独立封闭住宅小区。今年以来，为满足居民精神文化需要，提高居民生活水平质量，长岭街道永丰社区联合物业为会展城B3组团居民更换健身器材及建设羽毛球运动场地。目前因经费问题，物业方暂无安装滑梯设施规划，后续将会根据居民需求及小区实际情况综合考量，尽最大努力协调申请，尽可能满足居民需求，请市民耐心等候。最后，再次感谢您的来信，希望您一如既往地关心、支持我们的工作。谢谢！
旅游,投诉/求助,某景区野狗乱跑影响游人安全，请尽快治理。谢谢,网友，您好！您的留言已收悉，现答复如下：9月3日，针对您反映的凤山景区东山段野狗乱跑影响游客安全的问题，景区管理所高度重视，迅速采取行动进行全面搜索与排查。经过细致地排查，在景区核心区域并未发现野狗活动的迹象。搜寻至中午12时许，工作人员于景区外围的林地中成功定位并驱离了5只野狗。为了进一步保障游客的安全与提升游览体验，景区管理所决定加大日常巡逻力度，并将驱赶野狗列为常规任务之一，努力为每一位游客营造安心、舒心的游览环境。感谢您的留言，欢迎您继续提出宝贵意见和建议。
治安,投诉/求助,瑶海家园1期，回迁小区的车辆人员安全，停车规范。\r1.瑶海家园1期的13号楼边上的西门是直接通向农贸市场的，方桥小学北边围墙外和小区之间的这条路是小区内部道路，不是外面的公用道路。\r2.之前物业通知居住在小区的住户需要去物业实名登记，方可才能自由进出小区。但是发现一直以来在农贸市场做生意的商户他们的车辆一直都是自由进出小区，停在13号楼下面的西门那里，这样他们方面卸货搬货，小区的停车位一直以来都比较紧缺，这样被外来的车辆占用，那本小区的车停那里？不能因为是回迁小区就放松管理，希望能通知到物业让他们加强下门卫的执行力，行动力。不要再放这些车辆进来了，这样也有利小区的安全。\r3.西边1期里面还有一些社会上的工程车和僵尸车也是占用车位在，希望能挪走。,网友：您好！您在人民网留言，反映的问题已收悉。新站高新区回复如下：1、瑶海家园13号楼边道路虽处小区内部，但可被市民用于出入小区及周边区域，所以该通道属于公共通道。2、因回迁小区停车资源紧张，加强车辆实名登记，便于核实常住小区车辆及车主信息，同时会免费赠送业主一辆车的停车福利。农贸市场为辖区设立，13号楼公共通道功能是方便市民出行及搬运，搬货车辆即停即走，小区车辆停在本小区不受影响，中房物业已要求物业保安严格监管。3、西区无社会工程车辆停放，保安人员一旦发现社会工程车出入会直接拦截，水电维修部门车辆进出开展维修工作除外。目前仅两辆小区业主的小型挖土铲车停放，停车规范并遵守小区管理制度且无多占车位。在物业两年多坚持不懈的努力下，瑶海家园的僵尸汽车已基本清理，部分业主的僵尸三轮车也被集中清理并划分在不占标准车位的角落规范停放。如有疑问，请与新站城市运营管理有限公司（电话：0551-65668360）联系。感谢您的留言！
环保,投诉/求助,尊敬的领导，您好。我是广东省清远市英德市下太镇上太村委会新屋屋的一名居民，长期在在工作，每逢节假日回家，家里都会有用水问题。村里也有很多养猪厂，经常会闻到一股恶臭味。还请领导解决一下我们村的问题，谢谢。,经核，上太村新屋组已建有供水网络村村通自来水工程（新屋片)，设备管网正常运行，存在生活用水、生产用水混用情况，一般情况下能够满足生产、生活用水的实际需求，但因近期天气干旱，降水量较少，导致需水量不足，可能出现短时间缺水的情况。下一步，镇相关部门做好村民用水的相关工作，确保村民生产、生活用水充足，同时，镇相关部门将针对养殖场偷排漏排等违法行为加大巡查力度，发现相关违法行为依法依规处理。
三农,投诉/求助,现在正值春茶时期，但是茶叶的价格却一年不如一年，前些年春茶价格在一百元以上，但是近几年开始春茶价格大幅度降低，这让茶农们的收入变少。在一些偏远乡镇有些茶商会连续降低茶叶价格，导致茶叶价格一天比一天还低。茶农们每天天还没亮就外出摘茶，天黑了才回家，但是所得的收入寥寥无几，甚至有些茶农还会在凌晨就外出摘茶。但是每次拿去卖，都会得到茶叶降价的消息。茶商们统一降价，靠茶为生的茶农也无计可施，只能以低价出售茶叶。到摘茶叶的后期茶叶甚至到十几元一斤，所得收入加起来可能还没有茶肥、人工费、农药肥都低，入不敷出。希望可以加强茶叶市场监管，让茶叶价格稳下来。,“网友”朋友：您好！您在人民网留言题为“名山某些茶商联合压低茶叶价格”的留言收悉，现回复如下。我局会同区农业农村局即时组织人员力量进镇入村到户到市场开展摸排走访，暂未发现欺行霸市、串通涨（压）价、垄断经营等违法违规行为。茶叶鲜叶产品实行市场调节价，市场供需、环境以及产品质量等因素对其价格涨跌具有较大影响。我们一直以来都非常重视茶叶鲜叶交易秩序和价格监测管理，若您发现有欺行霸市、串通涨（压）价、垄断经营等违法违规行为线索、证据，可通过12345、12315等投诉举报平台和渠道向我局反馈，我局将依法予以严厉打击。感谢您的来信！如有疑问，请咨询我局，联系电话：0835-3236885。雅安市名山区市场监督管理局2025年03月12日
交通,投诉/求助,湖北省大悟县丰店镇唐店村刘家河8组和16组的一条直通湾里450米左右的道路没有硬化，村民出行多有不便，望领导重视支持，修建一条450米左右的水泥路，方便全村老少村民出行，万分感谢。,您好！您反映的问题我们已交大悟县丰店镇人民政府办结，现回复如下：经核实，您反映的通湾道路部分未硬化问题，主要原因在于配套资金存在缺口，部分村民要求道路入户但缺少配套资金，且部分路段宽度不足，若要施工需拆除部分村民建筑，村民均不愿意拆除。以上多种因素相互交织，导致道路工程长期搁置。目前镇村正在积极申请相关部门协助解决配套资金问题，共同推动该道路建设工程顺利开展。感谢您的宝贵留言，感谢您对城建工作的关注、支持和监督。
企业,投诉/求助,坊子区东*厂是一个体工商户小微企业，职工15人左右，宋*保和宋*磊父子采用违规占路和用报废车辆占路堵在我的厂门口，使我厂运输货物车辆出入困难，一直改用运输能力为三分之一的货车运输，影响企业的正常经营，三、四年以来，一直未得到有效的实质性的解决问题，望领导在百忙之中过问一下，解决我的实际困难,尊敬的网友：您好！您反映的问题，潍坊市坊子区人民政府坊安街道办事处进行了调查处理，现回复如下：经查，坊子区东*机械配件厂位于潍坊市坊子区坊安街办宋家村村东。被反映人宋*磊房屋在您厂北侧，其将车辆停放在自家门前、道路两侧的空场，并未占路。该空场属于路边公共区域，在不影响道路正常通行的情况下可临时停放车辆。此前，因您与宋*磊家曾多次发生矛盾纠纷，宋家村委和南流社区工作人员对您双方矛盾进行多次调解。在2023年7月达成初步和解时，宋*磊将车辆清理挪走，但因矛盾调解后始终未能达成一致意见，后期其又将车辆停放在路边，再次发生停车纠纷。邻里之间难免会发生矛盾，处理矛盾的关键是相互礼让。但双方均拒绝和谈，不愿沟通，多次采取互相举报等方式，导致矛盾进一步激化，给社区和村委工作人员增加了化解矛盾的难度。2025年5月6日、7日、8日，宋家村委和南流社区工作人员多次到场协调，宋*磊表示可将车辆挪移，但其父亲宋*宝拒不配合。鉴于您与北邻宋*磊户双方矛盾的现状和处理态度，工作人员暂时无法彻底化解，需进一步协调处理，也希望您双方能通过友好协商的方式化解矛盾，工作人员将持续跟进。请您理解，并积极配合后期调解工作开展。5月9日，工作人员当面将有关情况与您进行了反馈。若您还有其他问题，您可拨打电话：0536-7951001进行咨询和反映，我们将竭诚为您解答和解决有关问题。衷心感谢您对我们工作的理解支持！
城建,投诉/求助,我是光航城二期16幢业务，截止目前还未收到上房通知，也没有相关电话,您好！贾汪区住房和城乡建设局就您留言反映的事项进行了调查处理，现将有关情况回复如下：光航城二期已交付，市民可携带户主身份证到小区物业办公室办理上房手续。感谢您对我们工作的支持与理解！
政务,投诉/求助,您好，领导。以下问题需要反馈:1.济南市工业南路76号，茂岭花苑周边地块开发商济南*置业有限公司在未取得相关建筑施工许可证的情况下，违规野蛮施工，不分时段施工不停，噪音震动给居民带来身心不适。2.先不提后期建成后小区居民家里能否有充足的光照，现在还没有正式施工小区里已有多户邻居家玻璃被震碎，那么近的距离，等他们挖地基了，我们小区的楼房根本没有安全保障，谁能保证我们小区居民的居住安全？诉求：1.立即启动茂岭花苑拆迁程序，将其纳入CBD整体规划，实现区域协调发展；2.成立专项工作组，公开拆迁安置方案，保障业主知情权与参与权；3.责令周边项目停工建设施工，落实“先防护后开发”，先行赔偿居民财产损失。,尊敬的网友：您好！您反映的问题，济南市历下区住房和城市建设局进行了调查处理，现回复如下：接到留言后，我局立即协调职能科室前往现场进行实地核查，该项目未在我局办理施工许可手续。我局已于2025年3月7日向该项目下发停工指令，要求该单位立即停止施工，尽快完善各项施工手续，目前该项目处于停工状态。经了解，茂岭花苑小区未列入2025年历下区国有土地上房屋征收计划。感谢您的留言，祝您生活愉快！
教育,投诉/求助,我家孩子今年九月份上小学，孩子户口是农村的和爷爷奶奶在一起，爸爸的户口房子在福春了，属于福春街小学学区，孩子现在有点情况能晚两年把户口迁过来，麻烦领导跟福春街小学沟通一下，谢谢。,尊敬的网友您好，您的留言已收悉。您反映的问题，依据《丹东市2024年义务教育阳光招生专项行动实施方案》(丹教〔2024〕70号)和《丹东市教育局关于做好2024年义务教育阶段学校招生入学工作的通知》(丹教〔2024〕68号)文件精神，按照“学校划片招生、生源就近入学”原则，切实保障入学机会公平。2025年区属小学招生按学区招收2019年8月31日前年满6周岁儿童免试就近入学，坚持户口、房照及实际居住“三统一”的原则，严格执行小学入学“六年一户一学额”的招生政策。目前您孩子的户口暂未落入的情况下，有意向到福春街小学就读的话，需结合福春街小学当年实际招生情况，在有空余学位的前提下，学校会优先考虑接收房照及实际居住均符合本校招生条件，但户口暂未落入的适龄儿童，且入学年龄可放宽到2019年12月31日前。振兴区教育局招生咨询电话：2027387。感谢您的信任，祝您生活愉快！
文娱,投诉/求助,诉求：在市民广场或山顶体育公园等地建设排球场地。理由：1.张家口市排球爱好者众多2.排球场地稀缺3.体育考试中排球为一重要项目，学生缺乏训练场地4.排球体育事业发展火热5.摆脱排球教育现状6.增强青少年体质7.市民广场部分篮球场地闲置时间较长，山顶体育公园大部分场地闲置时间过长，整体利用率不高总结：桥东区有条件建设排球场地，好处众多，望领导考虑该提议，增大体育投入。,网民，您好！经核实，市民广场属于经开区，我区山顶体育公园有2块排球场地，且免费向市民开放。对于您反映的问题，工作人员已向您做出详细解释。感谢您对我们工作的理解与支持，祝您生活愉快！
旅游,建言,上海其他区不少比较知名的公园已经不收门票了，比如世纪公园、共青森林公园，但顾村公园开园至今也10年有余却还在收门票，且20元门票在差不多规模的公园中实属比较贵的价格。不知公园何时可以免门票？在免票前，希望公园起码可以给予一定的惠民政策，在早上8:30之前对晨练的周边居民予以免费入园。,网友您好！\r您的留言已收悉，现将有关情况回复如下：\r目前，顾村公园根据《关于核定顾村公园一期门票价格的复函》（宝发改[2010]320号）规定，公园门票价格为20元/张。顾村公园作为上海外环线绿带上“长藤结瓜”的重要一瓜，是宝山区重要的生态建设工程，国家AAAA级旅游景区。您提出的建议契合大众需求，但同时对公园管理也带来挑战，一是公园总占地430公顷，面积大、水域广，完全免费开放存在很大的安全隐患；二是公园开园面积逐渐增大，运维成本逐年增加，门票在2010根据发文定价未曾有过变化，门票依然是公园运维成本的一部分。公园积极践行“人民城市”重要理念，一是作为国有企业在政府号召下努力探索市场化运营新方向，以积极减轻财政压力；二是公园根据相关政策积极配合推行票价优惠政策，在原有优惠人群的基础上，为持“宝善卡”的道德模范、持证的医护人员等特殊群体提供免票服务；三是为惠及周边居民，公园出售月卡（80元/月）、年卡（300元/年）。顾村公园如收到上级行业管理部门的有关工作要求，将积极配合上级管理部门推进公园免费开放事宜。\r感谢您对我们工作的支持和理解。\r特此回复。\r
治安,投诉/求助,1.关于噪音扰民：位于厚街镇河田社区六桂路4*号附近，姜*烤鱼等宵夜店长期存在噪音扰民现象。经常在晚间11:00至凌晨一两点（甚至到凌晨四点）噪音扰民，严重影响周边住户休息。\r2.关于占道经营：以上提及宵夜门店，长期占用公共停车位。原本段道路停车位充足，自从以上宵夜店占道经营后，至少占用12-20和公共停车位，导致停车位紧张，部分车辆不得不停在道路影响交通。占道经营给噪音扰民提供了有利的条件，加大噪音音量。\r以上望有关部门重视并彻底解决噪音扰民，占道经营问题，还我们一个安静的睡眠环境！,尊敬的市民，您好！您反映的问题已收悉，现回复如下：2025年5月4日19时56分，厚街城管分局执法人员到达现场，并于19时57分与您取得联系。经核查，厚街镇河田社区六桂路存在部分商家占道经营、噪音扰民问题。执法人员对涉事店主开展法规教育，责令其立即停止占道经营行为，并依法依规进行了相应处罚。后续，我们将持续加大该区域巡查管控力度，建立常态化管理机制。若您发现类似违法行为，欢迎随时拨打城管热线81561116或政务服务热线反馈。
环保,投诉/求助,荣和澜山府*侧，经常有泥头车往后山倒渣土。大年初三就开工，且车辆无任何牌照。请政府采取有效措施，封锁上山道路，派人24小时监管，山上的渣土已经高至2-3米，存在隐患。,网友您好！您的留言已收悉，现将有关情况回复如下:关于大年初三有泥头车偷倒渣土问题，经青秀区综合行政执法局执法队仙葫大队核查，该车辆为经自然资源局审批的大华语山复绿项目的报备车辆。2025年1月31日，仙葫大队收到大华语山方崇复耕点车辆运输报备后，已安排执法人员做好对该区域的重点巡查管控，经执法人员多次巡查，通往后山的道路封锁正常，无车辆碾压痕迹，运输车辆正常驶入大华语山方崇复耕点。下一步，仙葫大队将继续加大执法力度，切实做好扬尘治理工作。关于车辆无牌照行驶问题，南宁市公安局交警支队已督促辖区交警九大队结合当前正在开展的全市道路交通安全综合整治行动，联合青秀区交通运输、综合行政执法等部门，对途径仙葫大道、凤岭南路等主要路口的工程运输车辆交通违法行为开展专项治理。下一步，九大队将积极研判辖区范围内工程运输车辆出行轨迹，加强源头治理排查工作，努力保障道路良好的交通出行环境。感谢您对我们工作的关注和支持。
三农,投诉/求助,领导你好我是场口镇红星村的一个农民我家里目前居住的是一间贴着危房的老房子然后我家里提交那个建房申请好几年了一直落实不到第二步回答问题就是我们村建房的那块地属于农用地一直还没好所以我想求助一下这个怎么办,尊敬的网友:您好!您在人民网上给区委书记的留言已收悉，经场口镇人民政府调查了解，现答复如下:你从2020年左右申请将农用地改为建设用地，至今未审批完成，希望帮助核实并协调解决。根据农村建房政策要求，拟建房区域应在村内建设用地范围内。经核实，你户拟建房土地性质为基本农田，无法直接办理农转用手续。为考虑村民建房的实际需求，红星村已在全域整治中将该区域放入拟调出基本农田的图斑范围内。由于基本农田调整审批程序目前仍在办理过程当中，土地性质未完成调整前，无法开展建房审批程序。感谢您对我们工作的理解与支持!富阳区场口镇人民政府2025年4月14日
交通,投诉/求助,目前，水木芳华小区已有相当数量的居民入住，经过观察，我发现居民们主要使用的出行工具是电动车，大多数居民倾向于在方正路停放他们的车辆。由于该区域配备了充电桩，许多居民会选择在停车的同时进行充电，然而，在日常的使用和停放过程中，我们注意到了一些问题。为此，我通过文字描述和图片记录的方式，将这些问题呈现出来，并向相关部门反映，希望得到妥善解决。从三月份起，广州便步入了雨季，这一时期通常会持续两到三个月。因此，在这个时节，电动车的停放和充电问题变得尤为棘手。将电动车停放在路边，会遭遇整车被雨水打湿的状况。至于充电问题，更是复杂。由于充电器在充电过程中一旦进水，就可能导致电动车短路，存在隐患。并且，随着雨季的临近，这种状况预计将变得常态化。居民电动车的充电难题，将成为影响居民日常出行的一大障碍。若此问题无法得到妥善解决，无疑将给居民的出行带来诸多不便。因此，期望相关职能部门审慎考量上述问题，并积极采取措施解决所提出的难题，感激不已。,网友：您好！您在人民网的留言收悉，现将办理情况回复如下：关于您反映建议在水木芳华小区增设两轮电动车遮雨棚的问题。经核查，目前水木芳华小区停放两轮电动车的市政道路为水木芳华小区开发商代建，规划未有雨棚设置，且暂无安装计划。感谢您的留言。
企业,投诉/求助,吾悦广场地下停车库设计非常不合理，狭窄且无标识，转弯处还有障碍杆，无疏导引导，造成转弯半径非常小，发生磕碰，\r和他们物业人员沟通，他们自己都知道这点，可就是不赔偿车辆损失，请政府明察。,网友您好，经调查核实，您反映的吾悦广场地下车库设计相关问题为前期建设时规划部门统一设计。反映人反馈的位置进出口双向车道，宽度八米，地面有道路标识引导线，道路交叉口安装有反光镜，严格落实了道路标识及相关规定。限高杆距离进口弯道三米多，车辆正常行驶不受影响，关于交通事故问题，建议当事人可通过合法途径报警或者联系保险公司处理，光武街道、社区已督促地下停车场管理方后续加强车辆进出管理，避免事故发生。
城建,投诉/求助,尊敬的书记：天水市秦州区西关二期（忠义巷、育生巷等）存在大量危房和古民居。这些房屋由于年久失修，呈现出诸多问题。一方面，房屋的结构安全性令人担忧，另一方面，古民居的破败也影响了整个区域的风貌，与周边环境形成反差。此外，该区域还存在脏乱差的问题，环境卫生状况不佳，垃圾堆积、污水横流等现象严重影响了居民的生活质量。由于各种原因，西关二期的改造项目被搁置至今，急切盼望能够得到改善。天水市秦州区西关二期的居民们盼望政府能够贴合国家最新棚改政策，尽快将该区域纳入此次改造范围，尽快启动。如果西关二期能够得到改造，可以极大地改善居民的居住条件。其次，改造后的西关二期可以与天水古城的旅游发展相结合，打造更为完善的天水古城旅游名片。通过对古民居的修缮和保护，可以展现出天水悠久的历史文化和独特的地域风情，吸引更多的游客前来观光旅游，促进当地经济的发展。同时，良好的居住环境和旅游氛围也将提升居民的幸福感和自豪感。,网友，您好！您的留言已收悉，现答复如下：经核实，2021年6月11日，秦州区人民政府发布了《天水古城西关片区综合保护与利用（二期）城市更新项目范围通告》，西关二期拟征收范围东至大众路，西至双桥中路，南至南明路，北至解放路。2021年7月30日秦州区人民政府发布了《天水古城西关片区综合保护与利用（二期）城市更新项目房屋征收补偿安置方案（征求意见稿）》，经过工作人员入户了解，居民对该片区改造意见分歧较大，项目存在较大稳定风险，改造条件还不成熟。2021年9月2日经市政府同意，秦州区人民政府发布了《关于暂停天水古城西关片区综合保护与利用（二期）城市更新项目征收工作的通知》。关于秦州区西关二期存在大量危房和古民居，随时有倒塌风险，威胁居民生命安全，周边垃圾堆积、污水横流，环境卫生极差，影响城市风貌的问题：秦州区委、区政府高度重视，成立了由区住房和城乡建设局、区城市管理局、区住房建设事务服务中心、区城乡环卫中心等职能部门组成的工作专班，联合对该片区进行排查摸底。一是对排查出存在安全隐患的房屋和古民居按照相关规定及程序进行修缮维修并加固处理，排除安全隐患。二是对周边环境开展集中整治，截至2024年11月24日已清理乱堆乱放废弃物及各类垃圾20余吨，疏通排水管道200余米，清掏收水口、检查井60余个，清掏疏通盖板渠130余米。三是对该区域内所有公厕如厕环境进行综合整治提升。关于建议将该区域纳入棚户区改造范围，对古民居进行修缮和保护，既可以改善居民居住条件，又可以促进天水古城旅游发展的问题：一是国家对棚户区改造的政策已于2023年年底停止。二是秦州区住房和城乡建设局配合天水市城投公司根据国家城市更新政策，积极争取项目支持，力争将西关古城二期区域纳入整体改造范围，彻底改善该片区的居民居住条件及人居环境，为天水古城的旅游发展奠定基础。感谢您的留言，欢迎您继续提出宝贵意见和建议。
政务,投诉/求助,本人是达川区罐子镇碉楼村4组村民，本人父亲多年前已去世，并无其他子女，过继给叔父，叔父名下有一女儿，现在叔父一家希望我迁出户口，名下无任何房产，现希望能够单独立户继承父亲的宅基地。但是由于政策不支持，不管是单独立户还是继承宅基地都行不通，就本人特殊情况，希望能够得到特殊处理，能在村上有一处自己的住所。,网民朋友：您好！您反映的问题已收悉，现回复如下。经与碉楼村4组部分群众等了解情况，同时咨询辖区派出所、罐子镇自然资源所、罐子镇农业综合服务中心处后，与您本人电话沟通并解读了相关政策，您本人表示满意。如有未尽事宜，欢迎拨打罐子镇便民服务热线0818-3110007。祝您生活愉快，工作顺利！达州市达川区罐子镇人民政府2025年3月5日
教育,咨询,孩子小升初，孩子和妈妈住在一起，爸爸工作原因，自己住在一处，所以就孩子和妈妈居住证地址一致，爸爸不是，但社保缴纳的是爸爸的，提供社保清单是爸爸的，是否影响小孩小升初，还是必须把爸爸和孩子居住证地址保持一致？不太明白。,网友您好！\r您的留言已收悉，现将有关情况回复如下：\r根据您的情况，父亲和孩子都需具有有效的上海市居住证，父亲有符合要求的社保缴纳记录即可，孩子的居住证地址可以不与父亲的居住证地址相同。\r感谢您对闵行教育工作的关心、理解和支持！\r特此回复。
文娱,投诉/求助,希望可以多举行几次马拉松多给一些名额希望可以多给一些名额,网友，您好！收到留言后，我们高度重视，立即责成相关部门办理，答复如下。我市正积极筹备国际马拉松赛事，具体日期待定，请您及时关注相关信息发布平台。感谢您的关注和支持！
治安,投诉/求助,庐阳区华地森林湖小区业委会自2023年成立以来，存在以下问题：\r1.除个别成员在小区业委会群里发过言以外，大部分人对问题不闻不问，对业委会群里小区业主诉求从未回应，也没有对物业起到监督作用\r3.成立一年半时间，未召开过业主大会，推动物业解决业主们痛心疾首的问题，如门禁虚设，人员穿行等问题\r诉求：\r1.重新召开业委会选举，让愿意负责任的人去干\r2.业委会梳理业主问题，清单整改,网友：您好！您在人民网留言，反映的问题已收悉。庐阳区回复如下：1、此前业委会已针对业主反映的问题多次与物业对接，近期社区也会邀请业委会成员召开小区事务会议，督促其积极回复业主反馈的问题，做好沟通。针对门禁问题，物业目前启用人脸识别系统和门禁系统双向管控，每天安排人员现场管控，确保业主安全出行；针对皖投业主孩子穿行华地森林湖小区，物业秩序部下一步会制定有效方案，学生上学、放学高峰期安排秩序员专岗管控。2、依据《合肥市住宅小区物业管理条例》第十四条业主委员会连续六个月不依法履行职责，严重损害业主权益的，或者业主委员会成员人数不足业主委员会组成人员总人数二分之一或者五分之一以上业主提出重新选举业主委员会的，街道办事处、乡镇人民政府应当指导业主大会召开会议，重新选举业主委员会。业委会反映其在依法履行职责，有任何疑问可以直接联系业委会人员或到业委会办公室进行当面沟通。目前社区已建议业委会与物业对接，对于业主近期反映的问题进行汇总，督促物业尽快按照清单整改。如有疑问，请与丽水社区（电话：65653628）联系。感谢您的留言！
环保,投诉/求助,尊敬的领导，新年好。苏*斯酒吧噪音污染环境，噪音扰民，酒吧距离居民楼10米合理合法吗，请求有关部门帮助尽快处理。,网民您好！留言已收悉，我们已责成遂平县城管局进行调查处理。现将具体情况反馈给您：经调查，该酒吧位于鼎恒步行街内，有相关手续。县城管局已对该酒吧业主进行了约谈，同时责令其通过对窗户、墙壁、门缝等位置加装隔音棉，营业期间降低场内音响设备音量等措施减小音量，确保周边居民正常生活。
三农,投诉/求助,尊敬的领导，您好。我母亲异地门诊就医报销问题向您咨询，恳请予以详细解答。具体情况如下：??母亲为四川省南充市仪陇县农村户口，长期缴纳农保，目前参保地仍为仪陇县。母亲现长期居住于北京市（非临时外出），需在北京市社区医院门诊就医（如感冒等），希望了解以下问题：?问题一：报销流程?（1）是否需要提前办理异地就医备案？如需备案，应通过何种渠道办理。（2）若已备案，在北京市社区医院门诊就诊时，是否可直接使用医保电子凭证/社保卡结算？（3）若未备案或无法直接结算，后续如何凭票据回仪陇县报销？需提供哪些材料（如发票、费用清单、病历等）？?问题二：报销比例及规则?（1）仪陇县农保对异地普通门诊?（非住院）的报销比例是多少？是否有起付线或封顶线？（2）报销范围是否仅限于医保目录内药品及诊疗项目？慢性病门诊是否有特殊政策？（3）若母亲已办理高血压/糖尿病门诊慢特病认定，异地门诊报销比例是否与仪陇县本地一致？?其他疑问?：仪陇县医保局是否有咨询电话或线上渠道可查询具体政策？恳请领导针对上述问题给予详细指导，以便母亲在京顺利享受医保待遇。感谢您对参保群众关切问题的重视与支持。,尊敬的网友：您好！您通过人民网领导留言板，咨询异地门诊就医报销事宜，现回复如下：一、关于异地就医门诊备案问题根据现行医保政策规定，跨省异地就医需“先备案，后结算”，可直接在国家医保服务平台办理备案手续；备案成功后，在北京市社区医院（一级及以下医疗机构）门诊就医时，可直接使用医保电子凭证或社会保障卡结算。二、关于门诊报销相关问题如您母亲符合门诊慢特病申请条件，可向我局递交相关资料办理门诊慢特病待遇认定；在北京市就医若未备案，导致的门诊慢特病医疗费用无法直接结算，可凭相关资料（门诊票据、费用清单、处方、本人身份证复印件、银行卡复印件）到仪陇县医保局办理手工报销；居民门诊统筹无起付线，统筹基金按60%比例报销，每人每年最高支付限额为120元；门诊报销目录范围为国家基本医保药品目录、南充市基本医保诊疗项目目录和医疗服务设施范围目录；门诊慢特病按同等级医疗机构住院比例报销，无起付线。三、关于城乡居民“两病”门诊用药保障和政策咨询问题若您母亲已办理城乡居民高血压、糖尿病（简称“两病”）门诊待遇认定，备案后可直接在异地就医的定点医疗机构直接结算，报销比例与南充市报销比例保持一致。仪陇县医保局医保政策咨询电话0817-7216926、异地就医备案咨询电话0817-7226318、异地就医报销咨询电话0817-7225063，线上可关注“南充医疗保障”微信公众号在线查询相关医保政策。感谢您对仪陇医保工作的理解和支持！此复。
交通,投诉/求助,海陵南路与白榆路交叉口打通，有利于交通畅通，不打通严重影响交通顺畅，打通后，在此交叉口可以分流很多车辆！,市民您好，留言已收悉。收到您的诉求，我局经与交警大队对接，现作如下答复：海陵南路为我市向南方向的快速通道，海陵大桥桥北现已有3处信号灯路口，为保证快速通行，海陵南路与白榆路不具备中分带开口的条件。根据《公路路线设计规范》(JTGD20_2017)要求，该道路平面交叉最小间距为500米，白榆路距北侧惠阳路交叉口间距仅约250米，不满足平面交叉间距的控制规定。同时参考《城镇化地区公路工程技术标准》(JTG2112-2021)，本交叉口仅具有设置右进右出的条件。此处不符合中分带开放条件，如果开放，存在安全隐患。望您理解！
企业,投诉/求助,莲湖锦城三期这边水压总是忽高忽低，联系物业说找水务，对生活真的造成了很大不便，请尽快解决,
城建,投诉/求助,各位领导你好一些卖二手家具的商户，在他门口的公共区域乱搭棚子，乱摆放二手家具，把家具放在公共停车位不让停车把公共区域占为己用，给人们带来很多的不便利。希望有关部门来管管，谢谢有关部门的领导。,
